year,hot_days,hot_nights,hw_events,hw_days,hn_events,hn_days,city,period
2051,21,25,3,17,2,22,Tucson,future
2052,13,19,3,13,3,12,Tucson,future
2053,15,10,1,13,0,0,Tucson,future
2054,29,29,6,25,5,25,Tucson,future
2055,20,23,4,18,3,17,Tucson,future
2056,20,28,4,16,3,25,Tucson,future
2057,32,22,5,30,4,18,Tucson,future
1996,1,1,0,0,0,0,Charlotte,baseline
1997,16,3,4,13,0,0,Charlotte,baseline
1998,13,6,2,9,0,0,Charlotte,baseline
1999,10,2,2,9,0,0,Charlotte,baseline
2000,2,6,0,0,0,0,Charlotte,baseline
2001,5,5,0,0,1,4,Charlotte,baseline
2002,8,3,1,5,0,0,Charlotte,baseline
2003,1,3,0,0,0,0,Charlotte,baseline
2004,3,0,0,0,0,0,Charlotte,baseline
2005,13,9,3,13,1,3,Charlotte,baseline
2006,10,19,1,5,4,13,Charlotte,baseline
2007,3,3,0,0,0,0,Charlotte,baseline
2008,6,6,1,4,1,3,Charlotte,baseline
2009,9,6,2,6,0,0,Charlotte,baseline
2010,7,5,1,3,0,0,Charlotte,baseline
2011,0,0,0,0,0,0,Charlotte,baseline
2012,7,10,1,3,1,4,Charlotte,baseline
2013,1,4,0,0,0,0,Charlotte,baseline
2014,12,10,2,11,1,4,Charlotte,baseline
2015,9,6,1,3,0,0,Charlotte,baseline
2016,3,2,0,0,0,0,Charlotte,baseline
2017,4,11,0,0,1,3,Charlotte,baseline
2018,6,9,0,0,2,6,Charlotte,baseline
2019,17,22,2,6,3,10,Charlotte,baseline
2020,13,19,2,10,1,5,Charlotte,baseline
2021,13,9,2,9,1,3,Charlotte,baseline
2022,13,16,2,8,3,10,Charlotte,baseline
2023,10,12,1,4,2,8,Charlotte,baseline
2024,6,4,2,6,0,0,Charlotte,baseline
2025,8,11,1,4,1,3,Charlotte,baseline
2026,9,16,1,4,1,4,Charlotte,baseline
2027,15,16,3,10,2,7,Charlotte,future
2028,15,13,2,7,1,4,Charlotte,future
2029,21,29,4,16,5,27,Charlotte,future
2030,31,25,4,21,4,18,Charlotte,future
2031,38,42,6,35,2,30,Charlotte,future
2032,24,29,3,18,4,19,Charlotte,future
2033,9,11,1,3,1,3,Charlotte,future
2034,39,38,4,30,6,31,Charlotte,future
2035,35,36,4,31,4,29,Charlotte,future
2036,12,9,1,6,1,3,Charlotte,future
2037,24,19,5,22,3,12,Charlotte,future
2038,22,25,4,20,3,20,Charlotte,future
2039,24,22,4,19,3,15,Charlotte,future
2040,23,31,3,17,6,30,Charlotte,future
2041,26,23,4,23,3,18,Charlotte,future
2042,38,35,5,25,4,24,Charlotte,future
2043,34,45,4,23,7,42,Charlotte,future
2044,32,33,5,29,5,30,Charlotte,future
2045,32,24,4,18,4,13,Charlotte,future
2046,24,23,4,21,3,15,Charlotte,future
2047,45,49,6,39,5,38,Charlotte,future
2048,44,48,3,32,4,44,Charlotte,future
2049,34,37,5,22,5,29,Charlotte,future
2050,33,44,7,27,7,36,Charlotte,future
2051,49,58,7,41,7,45,Charlotte,future
2052,65,69,7,60,4,65,Charlotte,future
2053,47,55,6,37,6,45,Charlotte,future
2054,52,62,8,48,5,57,Charlotte,future
2055,67,77,6,60,5,72,Charlotte,future
2056,58,71,7,49,5,63,Charlotte,future
2057,47,59,5,41,5,52,Charlotte,future
1996,1,2,0,0,0,0,Miami,baseline
1997,0,0,0,0,0,0,Miami,baseline
1998,2,5,0,0,0,0,Miami,baseline
1999,3,1,0,0,0,0,Miami,baseline
2000,10,3,1,3,0,0,Miami,baseline
2001,17,11,2,10,1,4,Miami,baseline
2002,0,3,0,0,0,0,Miami,baseline
2003,1,5,0,0,0,0,Miami,baseline
2004,0,0,0,0,0,0,Miami,baseline
